,id,rated,created_at,last_move_at,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,rating_delta,moves,opening_eco,opening_name,opening_ply
77,15690,1,1503680000000.0,1503690000000.0,48,1,0,30+0,8228,1720,6281,1579,141,17430,152,334,3
78,7017,1,1503620000000.0,1503620000000.0,47,1,2,15+5,6234,1579,3939,2105,-526,3464,241,976,5
79,2436,1,1503550000000.0,1503550000000.0,64,2,2,15+5,9406,1768,6281,1560,208,18246,152,353,3
80,9108,1,1503540000000.0,1503540000000.0,61,1,0,15+5,6234,1552,3203,1436,116,3510,239,977,3
81,1486,1,1503460000000.0,1503460000000.0,57,2,0,15+5,6234,1536,8624,1667,-131,2005,241,976,5
82,1511,1,1503460000000.0,1503460000000.0,51,1,0,15+5,7525,1521,6281,1549,-28,1135,10,237,2
83,17996,1,1503450000000.0,1503450000000.0,58,2,2,15+5,417,1251,6281,1545,-294,809,0,180,3
84,12003,1,1503450000000.0,1503450000000.0,71,1,0,15+5,6234,1537,636,1408,129,3405,239,977,3
85,9077,1,1503440000000.0,1503440000000.0,114,1,0,15+5,6234,1522,5444,1512,10,3262,36,960,1
86,10452,1,1503430000000.0,1503430000000.0,39,1,0,15+5,2726,1602,6281,1532,70,17671,170,392,11
87,3223,1,1503430000000.0,1503430000000.0,20,1,2,15+5,6234,1543,2776,1593,-50,2001,241,976,5
88,7004,1,1503430000000.0,1503430000000.0,48,1,2,30+0,6234,1556,4752,1539,17,3578,239,977,3
89,14882,1,1503370000000.0,1503370000000.0,34,2,2,20+10,3573,1409,6281,1548,-139,17334,152,352,3
90,18642,1,1503370000000.0,1503370000000.0,51,1,0,20+10,6234,1539,3690,1418,121,3470,241,976,5
91,18730,1,1503360000000.0,1503370000000.0,69,1,0,20+10,2526,1603,6281,1550,53,17076,152,363,3
92,2776,1,1503360000000.0,1503360000000.0,28,1,0,20+10,6234,1542,3138,1399,143,3537,239,978,4
93,10683,1,1503360000000.0,1503360000000.0,62,1,2,20+10,6234,1546,1961,1877,-331,3461,241,976,5
94,7833,1,1503360000000.0,1503360000000.0,62,2,2,20+10,472,1134,6281,1535,-401,2194,43,945,4
95,9047,1,1503360000000.0,1503360000000.0,85,2,0,20+10,6234,1513,7049,1784,-271,5637,36,433,2
96,1397,1,1503350000000.0,1503350000000.0,38,1,0,20+10,6234,1501,7301,1445,56,2006,241,976,5
97,15173,0,1503970000000.0,1503970000000.0,14,1,0,45+0,4985,1500,3699,1500,0,11492,201,495,8
98,13283,1,1504200000000.0,1504200000000.0,113,3,1,15+0,883,1745,607,1714,31,4186,245,943,4
99,7523,1,1504190000000.0,1504190000000.0,62,1,0,15+0,883,1734,748,1748,-14,4209,245,943,4
100,11585,1,1503540000000.0,1503550000000.0,101,1,0,10+0,7322,1942,864,1739,203,17741,162,357,6
101,11035,1,1503540000000.0,1503540000000.0,75,0,0,10+0,883,1724,8777,1855,-131,14459,196,1150,7
102,15028,1,1503540000000.0,1503540000000.0,135,2,0,10+0,5150,1951,864,1729,222,17980,154,318,11
103,11187,1,1503540000000.0,1503540000000.0,81,0,0,10+0,883,1726,6492,1388,338,15640,192,783,5
104,4178,1,1503540000000.0,1503540000000.0,46,1,2,10+0,883,1735,5864,1806,-71,2910,295,414,6
105,9133,1,1503540000000.0,1503540000000.0,70,2,2,10+0,3596,1597,864,1728,-131,17383,152,352,3
106,18111,1,1503540000000.0,1503540000000.0,39,1,0,10+0,4749,1743,864,1738,5,17752,162,367,10
107,13692,1,1503540000000.0,1503540000000.0,91,1,0,10+0,8531,1721,864,1750,-29,5022,264,922,7
108,6406,1,1503540000000.0,1503540000000.0,137,0,0,10+0,883,1746,3100,1487,259,4690,258,868,5
109,11405,1,1503540000000.0,1503540000000.0,46,1,2,10+0,3981,1744,864,1735,9,17950,154,323,9
110,18949,1,1503540000000.0,1503540000000.0,18,1,2,10+0,883,1749,9156,1631,118,4225,273,912,9
111,7782,1,1503540000000.0,1503540000000.0,28,1,2,10+0,883,1769,5909,1396,373,4654,258,868,5
112,18811,1,1503680000000.0,1503680000000.0,40,1,2,5+8,1537,1795,3763,1760,35,2304,42,1452,5
113,2330,1,1503670000000.0,1503680000000.0,111,2,0,15+0,3402,1729,1557,1795,-66,4850,265,907,5
114,9002,1,1503590000000.0,1503590000000.0,54,2,2,10+0,2127,1795,1557,1784,11,12093,215,1054,6
115,129,1,1503590000000.0,1503590000000.0,33,1,0,10+0,1537,1770,4060,1872,-102,4023,241,992,3
116,10743,1,1503590000000.0,1503590000000.0,90,1,2,10+0,1537,1783,6969,1721,62,3889,241,976,5
117,16039,1,1503590000000.0,1503590000000.0,90,1,2,10+0,817,1884,1557,1768,116,12125,215,1055,7
118,5241,1,1503590000000.0,1503590000000.0,40,2,2,10+0,6265,1756,1557,1756,0,11716,175,77,5
119,1235,1,1503590000000.0,1503590000000.0,49,0,0,8+0,1537,1724,1485,1958,-234,2202,39,48,5
120,10263,1,1503580000000.0,1503580000000.0,50,1,2,10+0,1626,2036,1557,1706,330,584,8,586,6
121,10258,1,1503500000000.0,1503500000000.0,59,2,0,10+0,1537,1706,2102,925,781,3892,241,976,5
122,1746,1,1504080000000.0,1504080000000.0,26,0,2,15+15,5766,1244,7436,1219,25,5489,71,757,4
123,12637,1,1504080000000.0,1504080000000.0,23,2,0,15+15,7420,1215,5553,921,294,12882,201,462,5
124,10121,1,1503960000000.0,1503960000000.0,118,2,2,15+15,2818,1350,7436,1201,149,7020,74,1,5
125,17637,1,1503950000000.0,1503960000000.0,66,2,2,15+15,7420,1210,442,1280,-70,8196,98,1310,4
126,13028,1,1503910000000.0,1503910000000.0,120,3,1,15+15,8119,1139,7436,1212,-73,6904,201,297,8
127,12192,1,1503840000000.0,1503840000000.0,36,2,2,15+15,7420,1220,4452,1341,-121,13418,208,516,11
128,8987,1,1503830000000.0,1503840000000.0,26,2,2,15+15,7420,1234,1862,1359,-125,13761,206,463,6
129,16662,1,1503780000000.0,1503780000000.0,62,1,2,15+15,7420,1275,954,1236,39,13420,208,516,11
130,14611,1,1503780000000.0,1503780000000.0,37,1,0,15+15,7279,1433,7436,1282,151,6948,73,13,3
131,12117,1,1503670000000.0,1503670000000.0,24,1,2,15+15,8568,1132,7436,1276,-144,2460,245,943,4
132,2473,0,1503420000000.0,1503420000000.0,47,1,0,30+2,7420,1276,5294,1308,-32,13807,206,463,6
133,11247,1,1503420000000.0,1503420000000.0,37,1,2,15+15,4751,1228,7436,1266,-38,6982,73,26,7
134,12854,1,1503420000000.0,1503420000000.0,24,1,2,15+15,7420,1273,6736,1409,-136,10109,84,134,5
135,4022,1,1503410000000.0,1503410000000.0,9,1,0,15+15,5437,1338,7436,1277,61,5292,239,962,3
136,9028,1,1503160000000.0,1503160000000.0,47,2,0,15+15,7420,1263,5364,1336,-73,8814,123,1290,8
137,11616,1,1503160000000.0,1503160000000.0,85,2,0,15+15,7185,1316,7436,1273,43,1700,19,247,2
138,5003,1,1503140000000.0,1503140000000.0,39,2,0,15+15,7420,1248,7660,1253,-5,18491,71,407,2
139,8541,1,1503130000000.0,1503130000000.0,58,2,2,15+15,5200,1335,7436,1233,102,2564,319,704,6
140,10750,1,1503130000000.0,1503130000000.0,95,2,0,15+15,7420,1223,172,1189,34,13426,208,516,11
141,10150,1,1503130000000.0,1503130000000.0,2,1,2,15+15,6764,1443,7436,1204,239,6843,73,0,2
142,8346,1,1503090000000.0,1503090000000.0,97,2,0,15+15,2777,1227,7436,1216,11,4252,245,943,4
143,7826,1,1503090000000.0,1503090000000.0,12,3,1,15+15,7420,1215,5122,1219,-4,13612,201,462,5
144,15769,1,1503090000000.0,1503090000000.0,30,1,0,15+15,2810,1227,7436,1227,0,6892,201,297,8
145,1267,1,1503090000000.0,1503090000000.0,43,2,0,10+0,5612,1550,7436,1225,325,2682,312,100,8
146,13484,1,1503080000000.0,1503080000000.0,11,1,0,15+15,3246,1325,7436,1234,91,7039,73,0,2
147,14148,1,1503060000000.0,1503060000000.0,72,2,2,15+15,3244,1212,7436,1221,-9,6961,73,20,5
148,6073,1,1503060000000.0,1503060000000.0,156,2,2,15+15,7420,1226,8826,1478,-252,11969,191,635,3
149,15053,1,1503060000000.0,1503060000000.0,18,1,2,25+0,7420,1228,5385,1626,-398,5100,264,874,4
150,12154,0,1503050000000.0,1503060000000.0,77,2,0,10+2,3265,1191,7436,1228,-37,2163,163,340,7
151,7007,1,1503050000000.0,1503050000000.0,32,1,2,30+0,6806,1422,7436,1210,212,6985,73,25,5
152,9532,1,1503050000000.0,1503050000000.0,35,1,0,15+15,2014,1186,7436,1223,-37,6918,179,1446,5
153,5096,1,1503050000000.0,1503050000000.0,85,2,0,15+15,7420,1212,7637,1212,0,18464,77,682,2
154,755,1,1503050000000.0,1503050000000.0,50,1,2,15+15,7420,1228,1727,1343,-115,10564,72,1145,6
155,321,1,1504140000000.0,1504140000000.0,111,1,0,10+10,3939,1865,3952,1862,3,223,42,1452,5
156,18482,1,1503950000000.0,1503950000000.0,65,0,0,7+2,3820,1852,7239,1852,0,7785,99,1314,5
157,620,1,1503800000000.0,1503810000000.0,73,1,0,15+0,1821,1833,3952,1863,-30,2442,51,44,4
158,17801,1,1503690000000.0,1503690000000.0,125,1,0,15+0,3820,1851,7554,1918,-67,9099,96,1257,4
159,17555,1,1503630000000.0,1503630000000.0,76,1,2,15+0,3820,1861,6715,1844,17,13769,206,463,6
160,410,1,1503620000000.0,1503630000000.0,65,0,0,10+0,3820,1853,8158,1774,79,12234,216,1039,6
161,11920,1,1503620000000.0,1503620000000.0,41,2,0,10+0,4266,1910,3952,1862,48,8602,144,1308,11
162,12180,1,1503620000000.0,1503620000000.0,59,1,0,10+0,3820,1851,7168,1890,-39,17323,152,352,3
163,17708,1,1503600000000.0,1503600000000.0,70,1,2,15+5,8459,1860,3952,1840,20,8462,117,1224,5
164,14199,1,1503550000000.0,1503550000000.0,34,1,0,25+25,9412,1828,3952,1848,-20,8277,118,1212,5
165,8143,1,1503460000000.0,1503460000000.0,69,0,0,8+0,3957,1855,3952,1858,-3,755,307,27,1
166,5200,1,1503450000000.0,1503450000000.0,63,1,0,10+10,3820,1847,4029,1895,-48,12416,221,1093,8
167,3698,1,1503450000000.0,1503450000000.0,107,1,0,10+10,3909,1885,3952,1856,29,8427,117,1194,4
168,17224,1,1503440000000.0,1503440000000.0,58,1,0,30+0,3820,1847,1313,1802,45,6257,36,960,1
169,5052,0,1503440000000.0,1503440000000.0,34,1,2,20+5,3820,1847,3701,1856,-9,9798,82,154,6
170,1173,1,1503420000000.0,1503430000000.0,100,0,2,15+0,2159,1840,3952,1837,3,9293,92,1202,3
171,6843,1,1503340000000.0,1503350000000.0,80,1,2,5+5,3820,1848,5488,1806,42,9079,108,1251,4
172,18761,1,1503340000000.0,1503340000000.0,44,1,2,15+0,3820,1860,6615,1820,40,17353,152,352,3
173,11112,1,1503200000000.0,1503200000000.0,40,0,2,10+0,919,1854,3952,1849,5,3047,41,776,3
174,189,1,1503120000000.0,1503120000000.0,105,0,0,10+0,2877,1895,3952,1859,36,8337,117,1194,4
175,3746,1,1503110000000.0,1503110000000.0,50,1,2,15+0,3820,1866,7384,1965,-99,7823,100,1315,6
176,12756,0,1503090000000.0,1503090000000.0,144,0,1,10+0,3820,1866,8184,1843,23,8877,117,1194,4
177,5556,0,1503020000000.0,1503020000000.0,81,1,2,10+0,6008,1835,3952,1866,-31,9976,88,127,11
178,15606,1,1502940000000.0,1502940000000.0,69,1,2,15+0,3820,1877,2505,1860,17,12175,212,1052,6
179,18314,1,1502070000000.0,1502070000000.0,77,2,0,7+8,2483,1849,3952,1874,-25,8830,144,1297,11
180,1324,1,1501980000000.0,1501980000000.0,158,2,2,6+6,3634,1835,3952,1865,-30,2292,311,98,6
181,3167,1,1501880000000.0,1501880000000.0,107,3,1,15+5,3820,1866,1832,1835,31,13581,206,522,7
182,8689,1,1501610000000.0,1501610000000.0,117,2,0,15+0,3820,1856,62,1829,27,12784,227,1088,12
183,15811,1,1501600000000.0,1501600000000.0,44,1,0,10+0,3820,1845,7352,1846,-1,12411,221,1093,8
184,10075,1,1501290000000.0,1501290000000.0,40,1,2,15+0,7504,1834,3952,1835,-1,7875,99,1324,4
185,16652,1,1501200000000.0,1501200000000.0,59,1,0,15+5,7507,1846,3952,1845,1,10225,81,111,2
186,13490,0,1501200000000.0,1501200000000.0,110,1,2,10+0,3820,1845,6096,1917,-72,4189,245,943,4
187,7810,1,1501190000000.0,1501190000000.0,30,1,2,15+0,3820,1858,8117,1790,68,10841,72,1141,4
188,7323,1,1501190000000.0,1501190000000.0,54,1,2,10+0,5992,1871,3952,1847,24,7842,99,1324,4
189,483,1,1501120000000.0,1501130000000.0,69,1,2,10+0,3820,1846,8546,1869,-23,15607,192,783,5
190,7658,1,1501090000000.0,1501090000000.0,178,2,2,16+0,7551,1843,3952,1836,7,9250,92,1202,3
191,6095,1,1501040000000.0,1501040000000.0,136,1,2,15+0,1829,1800,3952,1826,-26,9152,90,1194,2
192,199,0,1504200000000.0,1504200000000.0,124,2,2,8+0,8213,1283,8957,1267,16,7801,99,1314,5
193,16985,1,1504180000000.0,1504180000000.0,96,1,2,10+4,6572,1290,8148,1270,20,18811,0,434,1
194,13789,1,1504180000000.0,1504180000000.0,53,0,0,12+0,6447,1331,8148,1281,50,5250,239,963,4
195,12825,1,1504080000000.0,1504080000000.0,39,2,0,10+0,6622,1304,8148,1292,12,6581,0,1433,1
196,13914,1,1504080000000.0,1504080000000.0,10,2,2,10+0,8213,1305,6662,1293,12,17552,152,359,3
197,15418,1,1504080000000.0,1504080000000.0,51,2,0,10+0,4831,1308,8148,1317,-9,16591,173,166,8
198,13271,1,1503810000000.0,1503810000000.0,18,1,2,15+0,1560,1296,8148,1305,-9,13093,205,498,13
199,15445,0,1503800000000.0,1503800000000.0,106,2,2,30+0,5281,968,8148,1305,-337,13276,201,297,8
200,9741,0,1503770000000.0,1503770000000.0,38,2,2,15+15,8213,1293,8765,1466,-173,15250,192,785,5
201,9510,1,1503760000000.0,1503760000000.0,59,2,0,7+2,9150,1500,8148,1299,201,12644,219,1074,7
202,489,1,1503750000000.0,1503750000000.0,111,2,0,7+2,8213,1288,4053,1232,56,10204,83,111,3
203,12070,1,1503750000000.0,1503750000000.0,28,1,2,7+2,8213,1289,3682,2108,-819,12422,226,1105,9
204,10857,0,1503740000000.0,1503740000000.0,101,0,0,7+2,1186,1431,8148,1289,142,16579,173,172,6
205,5611,0,1503740000000.0,1503740000000.0,15,2,0,7+2,8056,1806,8148,1289,517,14596,196,1150,7
206,4276,0,1503740000000.0,1503740000000.0,42,1,0,7+2,8213,1289,9189,1311,-22,15350,192,785,5
207,6800,0,1503740000000.0,1503740000000.0,118,1,2,7+2,1186,1431,8148,1289,142,6555,36,291,3
208,4055,0,1503740000000.0,1503740000000.0,34,1,2,7+2,8213,1289,542,1484,-195,12946,201,405,6
209,7423,0,1503740000000.0,1503740000000.0,60,1,2,7+2,8213,1289,735,1810,-521,9122,38,1258,5
210,4064,0,1503740000000.0,1503740000000.0,66,1,2,7+2,8056,1806,8148,1289,517,14332,195,1150,5
211,8023,0,1503680000000.0,1503680000000.0,21,0,0,5+8,8213,1289,7801,1500,-211,15403,192,785,5
212,8296,1,1503670000000.0,1503670000000.0,73,2,0,15+1,5737,1409,8148,1297,112,12567,221,1092,8
213,14910,1,1503660000000.0,1503670000000.0,159,2,0,15+1,8213,1280,5795,1485,-205,13714,206,463,6
214,12502,0,1503600000000.0,1503600000000.0,74,1,0,15+0,8213,1280,3971,1211,69,10835,72,1141,4
215,5219,0,1503600000000.0,1503600000000.0,28,2,2,15+0,3847,1211,8148,1280,-69,18908,0,180,3
216,12050,1,1503580000000.0,1503580000000.0,112,2,2,10+0,8213,1281,5982,1765,-484,15280,192,786,6
217,696,1,1503510000000.0,1503510000000.0,104,1,2,15+1,8213,1288,5795,1454,-166,14660,193,777,4
218,11963,1,1503510000000.0,1503510000000.0,40,2,2,15+1,5737,1560,8148,1270,290,4156,246,936,5
219,15966,1,1503510000000.0,1503510000000.0,44,2,2,15+1,8213,1274,5795,1534,-260,15132,96,1260,4
220,14574,1,1503510000000.0,1503510000000.0,150,3,1,15+1,8213,1259,5795,1663,-404,13710,206,463,6
221,11406,1,1503410000000.0,1503410000000.0,60,2,2,10+0,8590,1614,8148,1238,376,3462,241,976,5
222,9964,1,1503400000000.0,1503410000000.0,37,2,0,10+0,8213,1221,3746,1417,-196,17926,154,319,11
223,18339,1,1503340000000.0,1503340000000.0,88,0,2,10+0,8213,1222,5157,1732,-510,8083,101,1327,7
224,2848,1,1503300000000.0,1503310000000.0,113,2,0,10+0,3418,1232,8148,1234,-2,12640,219,1074,7
225,9484,1,1503100000000.0,1503110000000.0,55,2,0,20+5,8213,1240,4622,1219,21,14858,193,1021,8
226,9037,1,1502940000000.0,1502940000000.0,135,2,0,10+0,3471,1590,2147,1600,-10,1553,21,242,5
227,4690,1,1502240000000.0,1502240000000.0,137,3,1,10+0,7074,1568,2147,1617,-49,13223,201,462,5
228,5194,1,1501980000000.0,1501980000000.0,97,0,0,10+0,2113,1500,6098,1358,142,14017,197,293,6
229,4312,0,1503450000000.0,1503450000000.0,33,1,2,10+2,8334,1384,7167,1325,59,11055,78,809,2
230,4878,0,1503440000000.0,1503440000000.0,29,1,2,30+0,8334,1384,4108,1265,119,435,6,1462,3
231,14288,0,1503440000000.0,1503440000000.0,55,1,2,2+10,8334,1384,7377,1950,-566,353,4,1471,2
232,9680,1,1503280000000.0,1503280000000.0,91,1,0,20+10,8334,1377,1021,1249,128,10693,72,1141,4
233,300,1,1503280000000.0,1503280000000.0,53,1,0,9+0,4522,1375,8265,1389,-14,16117,171,662,4
234,815,1,1503260000000.0,1503260000000.0,49,2,0,10+2,8334,1378,942,1361,17,15678,192,783,5
235,14896,1,1503260000000.0,1503260000000.0,48,2,2,10+2,2180,1261,8265,1371,-110,16503,78,652,4
236,18458,1,1503260000000.0,1503260000000.0,20,1,2,10+9,8334,1380,1340,1429,-49,7891,99,1324,4
237,14632,1,1503250000000.0,1503250000000.0,87,2,0,10+0,8334,1369,2058,1368,1,14848,193,1020,6
238,18370,1,1503250000000.0,1503250000000.0,11,1,0,10+0,6589,1290,8265,1371,-81,12347,226,1097,9
239,8251,1,1503110000000.0,1503110000000.0,110,3,1,15+3,8334,1372,5573,1326,46,7072,71,1404,2
240,12541,1,1503110000000.0,1503110000000.0,24,1,0,6+7,8344,1361,8265,1383,-22,6350,0,1433,1
241,1152,1,1503100000000.0,1503100000000.0,23,1,0,15+15,7178,1217,8265,1399,-182,1532,21,261,4
242,10066,1,1503020000000.0,1503020000000.0,81,2,0,15+30,8334,1387,6948,1447,-60,12879,211,1036,5
243,4568,0,1503020000000.0,1503020000000.0,34,1,2,20+0,761,1474,8265,1387,87,10984,72,1125,2
244,10928,1,1503010000000.0,1503010000000.0,103,2,0,15+2,8334,1377,8178,1351,26,612,192,784,4
